key	cxx_dist_refs	cxx_dist_defaults	cxx_direct_refs	cxx_direct_defaults	cxx_targets	rust_refs	status	notes
Rate.Reputation.RecruitAFriendBonus	worldserver:server/worldserver/worldserver.conf.dist:2607	worldserver=0.1	Float:server/game/World/World.cpp:663	Float=0.1f	RATE_REPUTATION_RECRUIT_A_FRIEND_BONUS		missing_in_rust	-
Rate.Rest.InGame	worldserver:server/worldserver/worldserver.conf.dist:2542	worldserver=1	Float:server/game/World/World.cpp:686	Float=1.0f	RATE_REST_INGAME		missing_in_rust	-
Rate.Rest.Offline.InTavernOrCity	worldserver:server/worldserver/worldserver.conf.dist:2543	worldserver=1	Float:server/game/World/World.cpp:687	Float=1.0f	RATE_REST_OFFLINE_IN_TAVERN_OR_CITY		missing_in_rust	-
Rate.Rest.Offline.InWilderness	worldserver:server/worldserver/worldserver.conf.dist:2544	worldserver=1	Float:server/game/World/World.cpp:688	Float=1.0f	RATE_REST_OFFLINE_IN_WILDERNESS		missing_in_rust	-
Rate.RunicPower.Gain	worldserver:server/worldserver/worldserver.conf.dist:2438	worldserver=1					missing_in_rust	-
Rate.RunicPower.Loss	worldserver:server/worldserver/worldserver.conf.dist:2439	worldserver=1					missing_in_rust	-
Rate.Skill.Discovery	worldserver:server/worldserver/worldserver.conf.dist:2456	worldserver=1	Float:server/game/World/World.cpp:635	Float=1.0f	RATE_SKILL_DISCOVERY		missing_in_rust	-
Rate.SoulShards.Loss	worldserver:server/worldserver/worldserver.conf.dist:2440	worldserver=1					missing_in_rust	-
Rate.Talent	worldserver:server/worldserver/worldserver.conf.dist:2579	worldserver=1	Float:server/game/World/World.cpp:695	Float=1.0f	RATE_TALENT		missing_in_rust	-
Rate.XP.BattlegroundKill	worldserver:server/worldserver/worldserver.conf.dist:2515	worldserver=1	Float:server/game/World/World.cpp:647	Float=1.0f	RATE_XP_BG_KILL		missing_in_rust	-
Rate.XP.Explore	worldserver:server/worldserver/worldserver.conf.dist:2507	worldserver=1	Float:server/game/World/World.cpp:649	Float=1.0f	RATE_XP_EXPLORE		missing_in_rust	-
Rate.XP.Kill	worldserver:server/worldserver/worldserver.conf.dist:2505	worldserver=1	Float:server/game/World/World.cpp:646	Float=1.0f	RATE_XP_KILL		missing_in_rust	-
Rate.XP.Quest	worldserver:server/worldserver/worldserver.conf.dist:2506	worldserver=1	Float:server/game/World/World.cpp:648	Float=1.0f	RATE_XP_QUEST		missing_in_rust	-
RealmID	worldserver:server/worldserver/worldserver.conf.dist:70	worldserver=1	Int:server/worldserver/Main.cpp:655	Int=0		get_value:crates/world-server/src/main.rs:390	rust_exact_key	-
RealmZone	worldserver:server/worldserver/worldserver.conf.dist:637	worldserver=1	Int:server/game/World/World.cpp:904|Int:server/game/World/World.cpp:909	Int=HARDCODED_DEVELOPMENT_REALM_CATEGORY_ID|Int=HARDCODED_DEVELOPMENT_REALM_CATEGORY_ID	uint32 val|CONFIG_REALM_ZONE		missing_in_rust	-
